all,wc,polarity,pos.words,neg.words,text.var
all,13,0,-,-,"small hole dug in the ground, called a cyclone cellar, where the family"
all,13,1.05393037,"great, mighty, enough",-,"could go in case one of those great whirlwinds arose, mighty enough to"
all,15,-0.51639778,-,"crush, trap",crush any building in its path.  It was reached by a trap door in the
all,14,0,led,dark,"middle of the floor, from which a ladder led down into the small, dark"
all,1,0,-,-,hole.
all,0,NaN,-,-,
all,12,0,-,-,"When Dorothy stood in the doorway and looked around, she could see"
all,14,0.26726124,great,-,nothing but the great gray prairie on every side.  Not a tree nor a
all,14,-0.26726124,-,broke,house broke the broad sweep of flat country that reached to the edge of
all,14,0,-,-,the sky in all directions.  The sun had baked the plowed land into a
all,12,-0.05773503,-,cracks,"gray mass, with little cracks running through it.  Even the grass was"
all,14,0,tops,burned,"not green, for the sun had burned the tops of the long blades until"
all,13,0,-,-,they were the same gray color to be seen everywhere.  Once the house
all,13,0,-,-,"had been painted, but the sun blistered the paint and the rains washed"
all,14,-0.26726124,-,dull,"it away, and now the house was as dull and gray as everything else."
all,0,NaN,-,-,
all,15,0.25819889,pretty,-,"When Aunt Em came there to live she was a young, pretty wife.  The sun"
all,13,0.2773501,sparkle,-,"and wind had changed her, too.  They had taken the sparkle from her"
all,15,-0.25819889,-,sober,eyes and left them a sober gray; they had taken the red from her cheeks
all,14,0,-,-,"and lips, and they were gray also.  She was thin and gaunt, and never"
all,13,-0.2773501,-,orphan,"smiled now.  When Dorothy, who was an orphan, first came to her, Aunt"
all,13,-0.2773501,-,scream,Em had been so startled by the child's laughter that she would scream
all,11,0.30151134,merry,-,and press her hand upon her heart whenever Dorothy's merry voice
all,13,0.05547002,wonder,-,reached her ears; and she still looked at the little girl with wonder
all,8,0,-,-,that she could find anything to laugh at.
all,0,NaN,-,-,
all,12,0,worked,hard,Uncle Henry never laughed.  He worked hard from morning till night and
all,15,-0.25819889,joy,-,"did not know what joy was.  He was gray also, from his long beard to"
all,12,-0.8660254,-,"rough, stern, solemn","his rough boots, and he looked stern and solemn, and rarely spoke."
all,0,NaN,-,-,
all,14,0,-,-,"It was Toto that made Dorothy laugh, and saved her from growing as gray"
all,13,0,-,-,as her other surroundings.  Toto was not gray; he was a little black
all,13,0.2773501,merrily,-,"dog, with long silky hair and small black eyes that twinkled merrily on"
all,13,-0.2773501,-,funny,"either side of his funny, wee nose.  Toto played all day long, and"
all,8,0.35355339,loved,-,"Dorothy played with him, and loved him dearly."
all,0,NaN,-,-,
all,11,0,-,-,"Today, however, they were not playing.  Uncle Henry sat upon the"
all,12,-0.28867513,-,anxiously,"doorstep and looked anxiously at the sky, which was even grayer than"
all,14,0,-,-,"usual.  Dorothy stood in the door with Toto in her arms, and looked at"
all,9,0,-,-,the sky too.  Aunt Em was washing the dishes.
all,0,NaN,-,-,
all,15,-0.25819889,-,wail,"From the far north they heard a low wail of the wind, and Uncle Henry"
all,13,0,-,-,and Dorothy could see where the long grass bowed in waves before the
all,13,0.2773501,sharp,-,coming storm.  There now came a sharp whistling in the air from the
all,14,0,-,-,"south, and as they turned their eyes that way they saw ripples in the"
all,6,0,-,-,grass coming from that direction also.
all,0,NaN,-,-,
all,5,0,-,-,Suddenly Uncle Henry stood up.
all,0,NaN,-,-,
all,13,0,-,-,"""There's a cyclone coming, Em,"" he called to his wife.  ""I'll go look"
all,13,0,-,-,"after the stock.""  Then he ran toward the sheds where the cows and"
all,3,0,-,-,horses were kept.
all,0,NaN,-,-,
all,15,0.25819889,work,-,Aunt Em dropped her work and came to the door.  One glance told her of
all,5,-0.4472136,-,danger,the danger close at hand.
all,0,NaN,-,-,
all,8,0,-,-,"""Quick, Dorothy!"" she screamed.  ""Run for the cellar!"""
all,0,NaN,-,-,
all,14,0,-,-,"Toto jumped out of Dorothy's arms and hid under the bed, and the girl"
all,12,-0.57735027,-,"badly, trap","started to get him.  Aunt Em, badly frightened, threw open the trap"
all,13,-0.2773501,-,dark,"door in the floor and climbed down the ladder into the small, dark"
all,12,0,-,-,hole.  Dorothy caught Toto at last and started to follow her aunt.
all,14,-0.21380899,great,shriek,When she was halfway across the room there came a great shriek from the
all,14,-0.53452248,-,"hard, lost","wind, and the house shook so hard that she lost her footing and sat"
all,5,0,-,-,down suddenly upon the floor.
all,0,NaN,-,-,
all,5,-0.4472136,-,strange,Then a strange thing happened.
all,0,NaN,-,-,
all,13,-0.2773501,-,slowly,The house whirled around two or three times and rose slowly through the
all,12,0,-,-,air.  Dorothy felt as if she were going up in a balloon.
all,0,NaN,-,-,
all,14,0,-,-,"The north and south winds met where the house stood, and made it the"
all,14,0,-,-,exact center of the cyclone.  In the middle of a cyclone the air is
all,13,0.2773501,great,-,"generally still, but the great pressure of the wind on every side of"
all,15,0.464758,top,-,"the house raised it up higher and higher, until it was at the very top"
all,13,0,-,-,of the cyclone; and there it remained and was carried miles and miles
all,9,0,-,-,away as easily as you could carry a feather.
all,0,NaN,-,-,
all,13,-0.49923018,-,dark,"It was very dark, and the wind howled horribly around her, but Dorothy"
all,12,0,-,-,"found she was riding quite easily.  After the first few whirls around,"
all,15,-0.25819889,-,badly,"and one other time when the house tipped badly, she felt as if she were"
all,9,0.33333333,like,-,"being rocked gently, like a baby in a cradle."
all,0,NaN,-,-,
all,14,-0.26726124,like,-,"Toto did not like it.  He ran about the room, now here, now there,"
all,13,0,-,-,barking loudly; but Dorothy sat quite still on the floor and waited to
all,4,0,-,-,see what would happen.
all,0,NaN,-,-,
all,15,-0.51639778,-,"trap, fell","Once Toto got too near the open trap door, and fell in; and at first"
all,15,-0.25819889,-,lost,the little girl thought she had lost him.  But soon she saw one of his
all,13,0.2773501,strong,-,"ears sticking up through the hole, for the strong pressure of the air"
all,15,0.51639778,-,"fall, crept","was keeping him up so that he could not fall.  She crept to the hole,"
all,13,-0.2773501,-,dragged,"caught Toto by the ear, and dragged him into the room again, afterward"
all,11,-0.30151134,-,trap,closing the trap door so that no more accidents could happen.
all,0,NaN,-,-,
all,12,-0.57735027,-,"slowly, fright","Hour after hour passed away, and slowly Dorothy got over her fright;"
all,13,-0.49923018,-,lonely,"but she felt quite lonely, and the wind shrieked so loudly all about"
all,13,-0.2773501,-,deaf,her that she nearly became deaf.  At first she had wondered if she
all,14,-0.26726124,-,fell,would be dashed to pieces when the house fell again; but as the hours
all,10,-0.63245553,-,"terrible, worrying","passed and nothing terrible happened, she stopped worrying and resolved"
all,13,0,-,-,to wait calmly and see what the future would bring.  At last she
all,14,0,-,-,"crawled over the swaying floor to her bed, and lay down upon it; and"
all,7,0,-,-,Toto followed and lay down beside her.
all,0,NaN,-,-,
all,14,-0.26726124,-,spite,"In spite of the swaying of the house and the wailing of the wind,"
all,9,0,fast,fell,Dorothy soon closed her eyes and fell fast asleep.
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,5,0,-,-,2.  The Council with the Munchkins
all,0,NaN,-,-,
all,0,NaN,-,-,
all,14,-0.53452248,-,"shock, severe","She was awakened by a shock, so sudden and severe that if Dorothy had"
all,15,0.25819889,soft,"lying, hurt","not been lying on the soft bed she might have been hurt.  As it was,"
all,13,0.2773501,wonder,-,the jar made her catch her breath and wonder what had happened; and
all,12,-0.34641016,-,"cold, dismally",Toto put his cold little nose into her face and whined dismally.
all,14,0,-,-,Dorothy sat up and noticed that the house was not moving; nor was it
all,12,0,bright,dark,"dark, for the bright sunshine came in at the window, flooding the"
all,14,0,-,-,little room.  She sprang from her bed and with Toto at her heels ran
all,4,0,-,-,and opened the door.
all,0,NaN,-,-,
all,14,0.21380899,amazement,cry,"The little girl gave a cry of amazement and looked about her, her eyes"
all,10,0.31622777,wonderful,-,growing bigger and bigger at the wonderful sights she saw.
all,0,NaN,-,-,
all,14,0,-,-,The cyclone had set the house down very gently--for a cyclone--in the
all,12,0.8660254,"marvelous, beauty, lovely",-,midst of a country of marvelous beauty.  There were lovely patches of
all,10,0.63245553,"stately, rich",-,"greensward all about, with stately trees bearing rich and luscious"
all,12,0.28867513,gorgeous,-,"fruits.  Banks of gorgeous flowers were on every hand, and birds with"
all,12,0.28867513,brilliant,-,rare and brilliant plumage sang and fluttered in the trees and bushes.
all,13,0.2773501,sparkling,-,"A little way off was a small brook, rushing and sparkling along between"
all,13,0.49923018,grateful,-,"green banks, and murmuring in a voice very grateful to a little girl"
all,10,0,-,-,"who had lived so long on the dry, gray prairies."
all,0,NaN,-,-,
all,11,0.30151134,"eagerly, beautiful",strange,"While she stood looking eagerly at the strange and beautiful sights,"
all,13,0,-,-,she noticed coming toward her a group of the queerest people she had
all,15,0,-,-,ever seen.  They were not as big as the grown folk she had always been
all,13,0,-,-,"used to; but neither were they very small.  In fact, they seemed about"
all,14,0,-,-,"as tall as Dorothy, who was a well-grown child for her age, although"
all,10,0,-,-,"they were, so far as looks go, many years older."
all,0,NaN,-,-,
all,14,-0.26726124,-,oddly,"Three were men and one a woman, and all were oddly dressed.  They wore"
all,14,0,-,-,"round hats that rose to a small point a foot above their heads, with"
all,12,0.28867513,sweetly,-,little bells around the brims that tinkled sweetly as they moved.  The
all,14,0,-,-,"hats of the men were blue; the little woman's hat was white, and she"
all,14,-0.26726124,-,hung,wore a white gown that hung in pleats from her shoulders.  Over it were
all,11,0.30151134,like,-,sprinkled little stars that glistened in the sun like diamonds.  The
all,14,0,-,-,"men were dressed in blue, of the same shade as their hats, and wore"
all,14,0.26726124,tops,-,"well-polished boots with a deep roll of blue at the tops.  The men,"
all,14,0,-,-,"Dorothy thought, were about as old as Uncle Henry, for two of them had"
all,12,0.05773503,doubtless,-,beards.  But the little woman was doubtless much older.  Her face was
all,12,-0.28867513,-,wrinkles,"covered with wrinkles, her hair was nearly white, and she walked rather"
all,1,0,-,-,stiffly.
all,0,NaN,-,-,
all,13,0,-,-,When these people drew near the house where Dorothy was standing in the
all,11,-0.30151134,-,afraid,"doorway, they paused and whispered among themselves, as if afraid to"
all,13,0,-,-,"come farther.  But the little old woman walked up to Dorothy, made a"
all,8,0.35355339,sweet,-,"low bow and said, in a sweet voice:"
all,0,NaN,-,-,
all,12,0.57735027,"welcome, noble",-,"""You are welcome, most noble Sorceress, to the land of the Munchkins."
all,14,-0.26726124,grateful,"killed, wicked",We are so grateful to you for having killed the Wicked Witch of the
all,9,0,free,bondage,"East, and for setting our people free from bondage."""
all,0,NaN,-,-,
all,11,0.30151134,wonder,-,Dorothy listened to this speech with wonder.  What could the little
all,12,0,-,-,"woman possibly mean by calling her a sorceress, and saying she had"
all,12,-0.28867513,harmless,"killed, wicked","killed the Wicked Witch of the East?  Dorothy was an innocent, harmless"
all,13,0,-,-,"little girl, who had been carried by a cyclone many miles from home;"
all,10,0.31622777,-,killed,and she had never killed anything in all her life.
all,0,NaN,-,-,
all,12,0,-,-,"But the little woman evidently expected her to answer; so Dorothy said,"
all,13,-0.49923018,-,mistake,"with hesitation, ""You are very kind, but there must be some mistake.  I"
all,4,0.5,-,killed,"have not killed anything."""
all,0,NaN,-,-,
all,12,0,-,-,"""Your house did, anyway,"" replied the little old woman, with a laugh,"
all,12,0,-,-,"""and that is the same thing.  See!"" she continued, pointing to the"
all,13,0,-,-,"corner of the house.  ""There are her two feet, still sticking out from"
all,5,0,-,-,"under a block of wood."""
all,0,NaN,-,-,
all,12,-0.11547005,-,"cry, fright","Dorothy looked, and gave a little cry of fright.  There, indeed, just"
all,14,0.26726124,great,-,"under the corner of the great beam the house rested on, two feet were"
all,9,0,-,-,"sticking out, shod in silver shoes with pointed toes."
all,0,NaN,-,-,
all,11,0,-,-,"""Oh, dear!  Oh, dear!"" cried Dorothy, clasping her hands together in"
all,12,-0.57735027,-,"dismay, fallen","dismay.  ""The house must have fallen on her.  Whatever shall we do?"""
all,0,NaN,-,-,
all,11,0,-,-,"""There is nothing to be done,"" said the little woman calmly."
all,0,NaN,-,-,
all,6,0,-,-,"""But who was she?"" asked Dorothy."
all,0,NaN,-,-,
all,14,-0.26726124,-,wicked,"""She was the Wicked Witch of the East, as I said,"" answered the little"
all,12,-0.28867513,-,bondage,"woman.  ""She has held all the Munchkins in bondage for many years,"
all,14,0,free,slave,"making them slave for her night and day.  Now they are all set free,"
all,8,0.70710678,"grateful, favor",-,"and are grateful to you for the favor."""
all,0,NaN,-,-,
all,6,0,-,-,"""Who are the Munchkins?"" inquired Dorothy."
all,0,NaN,-,-,
all,12,0,-,-,"""They are the people who live in this land of the East"
all,5,-0.4472136,-,wicked,"where the Wicked Witch ruled."""
all,0,NaN,-,-,
all,6,0,-,-,"""Are you a Munchkin?"" asked Dorothy."
all,0,NaN,-,-,
all,15,0,-,-,"""No, but I am their friend, although I live in the land of the North."
all,15,0,swift,dead,When they saw the Witch of the East was dead the Munchkins sent a swift
all,15,0,-,-,"messenger to me, and I came at once.  I am the Witch of the North."""
all,0,NaN,-,-,
all,9,0.33333333,gracious,-,"""Oh, gracious!"" cried Dorothy.  ""Are you a real witch?"""
all,0,NaN,-,-,
all,13,0.05547002,good,-,"""Yes, indeed,"" answered the little woman.  ""But I am a good witch, and"
all,15,-0.25819889,"love, powerful",wicked,the people love me.  I am not as powerful as the Wicked Witch was who
all,11,0.30151134,free,-,"ruled here, or I should have set the people free myself."""
all,0,NaN,-,-,
all,13,-0.2773501,-,wicked,"""But I thought all witches were wicked,"" said the girl, who was half"
all,13,-0.22188008,great,mistake,"frightened at facing a real witch.  ""Oh, no, that is a great mistake."
all,15,0,-,-,"There were only four witches in all the Land of Oz, and two of them,"
all,14,0.26726124,good,-,"those who live in the North and the South, are good witches.  I know"
all,14,-0.26726124,-,mistaken,"this is true, for I am one of them myself, and cannot be mistaken."
all,13,-0.2773501,-,wicked,"Those who dwelt in the East and the West were, indeed, wicked witches;"
all,15,-0.51639778,-,"killed, wicked","but now that you have killed one of them, there is but one Wicked Witch"
all,13,0,-,-,"in all the Land of Oz--the one who lives in the West."""
all,0,NaN,-,-,
all,12,0,-,-,"""But,"" said Dorothy, after a moment's thought, ""Aunt Em has told me"
all,10,0,-,-,"that the witches were all dead--years and years ago."""
all,0,NaN,-,-,
all,9,0,-,-,"""Who is Aunt Em?"" inquired the little old woman."
all,0,NaN,-,-,
all,12,0,-,-,"""She is my aunt who lives in Kansas, where I came from."""
all,0,NaN,-,-,
all,15,0,-,-,"The Witch of the North seemed to think for a time, with her head bowed"
all,15,0,-,-,"and her eyes upon the ground.  Then she looked up and said, ""I do not"
all,12,0,-,-,"know where Kansas is, for I have never heard that country mentioned"
all,9,0,-,-,"before.  But tell me, is it a civilized country?"""
all,0,NaN,-,-,
all,4,0,-,-,"""Oh, yes,"" replied Dorothy."
all,0,NaN,-,-,
all,12,0,-,-,"""Then that accounts for it.  In the civilized countries I believe there"
all,11,0,-,-,"are no witches left, nor wizards, nor sorceresses, nor magicians.  But,"
all,15,0,-,-,"you see, the Land of Oz has never been civilized, for we are cut off"
all,13,0,-,-,from all the rest of the world.  Therefore we still have witches and
all,3,0,-,-,"wizards amongst us."""
all,0,NaN,-,-,
all,6,0,-,-,"""Who are the wizards?"" asked Dorothy."
all,0,NaN,-,-,
all,12,0,great,sinking,"""Oz himself is the Great Wizard,"" answered the Witch, sinking her voice"
all,14,0.48107024,powerful,-,"to a whisper.  ""He is more powerful than all the rest of us together."
all,7,0,-,-,"He lives in the City of Emeralds."""
all,0,NaN,-,-,
all,12,0,-,-,"Dorothy was going to ask another question, but just then the Munchkins,"
all,14,-0.26726124,-,loud,"who had been standing silently by, gave a loud shout and pointed to the"
all,11,-0.60302269,-,"wicked, lying",corner of the house where the Wicked Witch had been lying.
all,0,NaN,-,-,
all,13,0,-,-,"""What is it?"" asked the little old woman, and looked, and began to"
all,11,-0.30151134,-,dead,"laugh.  The feet of the dead Witch had disappeared entirely, and"
all,7,0,-,-,nothing was left but the silver shoes.
all,0,NaN,-,-,
all,14,0,-,-,"""She was so old,"" explained the Witch of the North, ""that she dried up"
all,15,0,-,-,quickly in the sun.  That is the end of her.  But the silver shoes are
all,14,0,-,-,"yours, and you shall have them to wear."" She reached down and picked up"
all,13,-0.2773501,-,dust,"the shoes, and after shaking the dust out of them handed them to"
all,1,0,-,-,Dorothy.
all,0,NaN,-,-,
all,14,0.26726124,proud,-,"""The Witch of the East was proud of those silver shoes,"" said one of"
all,12,0.28867513,charm,-,"the Munchkins, ""and there is some charm connected with them; but what"
all,5,0,-,-,"it is we never knew."""
all,0,NaN,-,-,
all,13,0,-,-,Dorothy carried the shoes into the house and placed them on the table.
all,10,0,-,-,Then she came out again to the Munchkins and said:
all,0,NaN,-,-,
all,17,-0.24253563,-,anxious,"""I am anxious to get back to my aunt and uncle, for I am sure they will"
all,10,-0.31622777,-,worry,"worry about me.  Can you help me find my way?"""
all,0,NaN,-,-,
all,13,0,-,-,"The Munchkins and the Witch first looked at one another, and then at"
all,6,0,-,-,"Dorothy, and then shook their heads."
all,0,NaN,-,-,
all,14,-0.21380899,great,desert,"""At the East, not far from here,"" said one, ""there is a great desert,"
all,7,0,-,-,"and none could live to cross it."""
all,0,NaN,-,-,
all,15,0,-,-,"""It is the same at the South,"" said another, ""for I have been there and"
all,10,0,-,-,"seen it.  The South is the country of the Quadlings."""
all,0,NaN,-,-,
all,16,0,-,-,"""I am told,"" said the third man, ""that it is the same at the West.  And"
all,13,-0.2773501,-,wicked,"that country, where the Winkies live, is ruled by the Wicked Witch of"
all,13,-0.2773501,-,slave,"the West, who would make you her slave if you passed her way."""
all,0,NaN,-,-,
all,16,0,-,-,"""The North is my home,"" said the old lady, ""and at its edge is the same"
all,13,-0.49923018,great,"desert, afraid","great desert that surrounds this Land of Oz.  I'm afraid, my dear, you"
all,6,0,-,-,"will have to live with us."""
all,0,NaN,-,-,
all,13,-0.5547002,-,"sob, lonely","Dorothy began to sob at this, for she felt lonely among all these"
all,11,-0.60302269,-,"strange, grieve","strange people.  Her tears seemed to grieve the kind-hearted Munchkins,"
all,11,-0.30151134,-,weep,for they immediately took out their handkerchiefs and began to weep
all,14,0.26726124,balanced,-,"also.  As for the little old woman, she took off her cap and balanced"
all,14,0,-,-,"the point on the end of her nose, while she counted ""One, two, three"""
all,15,-0.25819889,-,solemn,"in a solemn voice.  At once the cap changed to a slate, on which was"
all,6,0,-,-,"written in big, white chalk marks:"
all,0,NaN,-,-,
all,0,NaN,-,-,
all,8,0,-,-,"""LET DOROTHY GO TO THE CITY OF EMERALDS"""
all,0,NaN,-,-,
all,0,NaN,-,-,
all,14,0,-,-,"The little old woman took the slate from her nose, and having read the"
all,10,0,-,-,"words on it, asked, ""Is your name Dorothy, my dear?"""
all,0,NaN,-,-,
all,10,0,-,-,"""Yes,"" answered the child, looking up and drying her tears."
all,0,NaN,-,-,
all,14,0,-,-,"""Then you must go to the City of Emeralds.  Perhaps Oz will help you."""
all,0,NaN,-,-,
all,6,0,-,-,"""Where is this city?"" asked Dorothy."
all,0,NaN,-,-,
all,15,0,-,-,"""It is exactly in the center of the country, and is ruled by Oz, the"
all,6,0.40824829,great,-,"Great Wizard I told you of."""
all,0,NaN,-,-,
all,9,0,good,anxiously,"""Is he a good man?"" inquired the girl anxiously."
all,0,NaN,-,-,
all,17,0.24253563,good,-,"""He is a good Wizard.  Whether he is a man or not I cannot tell, for I"
all,4,0,-,-,"have never seen him."""
all,0,NaN,-,-,
all,7,0,-,-,"""How can I get there?"" asked Dorothy."
all,0,NaN,-,-,
all,13,0,-,-,"""You must walk.  It is a long journey, through a country that is"
all,10,-0.31622777,pleasant,"dark, terrible","sometimes pleasant and sometimes dark and terrible.  However, I will"
all,13,0,magic,harm,"use all the magic arts I know of to keep you from harm."""
all,0,NaN,-,-,
all,14,0,-,-,"""Won't you go with me?"" pleaded the girl, who had begun to look upon"
all,8,0,-,-,the little old woman as her only friend.
all,0,NaN,-,-,
all,15,0,-,-,"""No, I cannot do that,"" she replied, ""but I will give you my kiss, and"
all,15,0.25819889,-,injure,no one will dare injure a person who has been kissed by the Witch of
all,2,0,-,-,"the North."""
all,0,NaN,-,-,
all,13,0,-,-,She came close to Dorothy and kissed her gently on the forehead.  Where
all,13,0,-,-,"her lips touched the girl they left a round, shining mark, as Dorothy"
all,4,0,-,-,found out soon after.
all,0,NaN,-,-,
all,14,0,-,-,"""The road to the City of Emeralds is paved with yellow brick,"" said the"
all,16,0,-,"miss, afraid","Witch, ""so you cannot miss it.  When you get to Oz do not be afraid of"
all,15,0,-,-,"him, but tell your story and ask him to help you.  Good-bye, my dear."""
all,0,NaN,-,-,
all,13,0.2773501,pleasant,-,"The three Munchkins bowed low to her and wished her a pleasant journey,"
all,12,0,-,-,after which they walked away through the trees.  The Witch gave Dorothy
all,13,0.05547002,friendly,-,"a friendly little nod, whirled around on her left heel three times, and"
all,10,0,-,-,"straightway disappeared, much to the surprise of little Toto, who"
all,13,0.2773501,enough,-,"barked after her loudly enough when she had gone, because he had been"
all,8,-0.70710678,-,"afraid, growl",afraid even to growl while she stood by.
all,0,NaN,-,-,
all,13,0,-,-,"But Dorothy, knowing her to be a witch, had expected her to disappear"
all,11,0,-,-,"in just that way, and was not surprised in the least."
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,5,0,-,-,3.  How Dorothy Saved the Scarecrow
all,0,NaN,-,-,
all,0,NaN,-,-,
all,14,0,-,-,When Dorothy was left alone she began to feel hungry.  So she went to
all,12,0,-,-,"the cupboard and cut herself some bread, which she spread with butter."
all,15,0,-,-,"She gave some to Toto, and taking a pail from the shelf she carried it"
all,12,0.57735027,"clear, sparkling",-,"down to the little brook and filled it with clear, sparkling water."
all,14,0,-,-,Toto ran over to the trees and began to bark at the birds sitting
all,12,0.28867513,delicious,-,"there.  Dorothy went to get him, and saw such delicious fruit hanging"
all,13,0,-,-,"from the branches that she gathered some of it, finding it just what"
all,7,0,-,-,she wanted to help out her breakfast.
all,0,NaN,-,-,
all,14,0.26726124,helped,-,"Then she went back to the house, and having helped herself and Toto to"
all,14,1.06904497,"good, cool, clear, ready",-,"a good drink of the cool, clear water, she set about making ready for"
all,7,0,-,-,the journey to the City of Emeralds.
all,0,NaN,-,-,
all,14,0.26726124,clean,-,"Dorothy had only one other dress, but that happened to be clean and was"
all,14,0,-,-,"hanging on a peg beside her bed.  It was gingham, with checks of white"
all,12,0,-,-,"and blue; and although the blue was somewhat faded with many washings,"
all,11,0.30151134,pretty,-,"it was still a pretty frock.  The girl washed herself carefully,"
all,12,0.28867513,clean,-,"dressed herself in the clean gingham, and tied her pink sunbonnet on"
all,14,0,-,-,her head.  She took a little basket and filled it with bread from the
all,13,0.2773501,top,-,"cupboard, laying a white cloth over the top.  Then she looked down at"
all,11,-0.30151134,-,worn,her feet and noticed how old and worn her shoes were.
all,0,NaN,-,-,
all,13,0,-,-,"""They surely will never do for a long journey, Toto,"" she said.  And"
all,14,0,-,-,Toto looked up into her face with his little black eyes and wagged his
all,8,0,-,-,tail to show he knew what she meant.
all,0,NaN,-,-,
all,14,-0.26726124,-,lying,At that moment Dorothy saw lying on the table the silver shoes that had
all,7,0,-,-,belonged to the Witch of the East.
all,0,NaN,-,-,
all,15,0.25819889,wonder,-,"""I wonder if they will fit me,"" she said to Toto.  ""They would be just"
all,14,0,-,-,"the thing to take a long walk in, for they could not wear out."""
all,0,NaN,-,-,
all,14,0,-,-,"She took off her old leather shoes and tried on the silver ones, which"
all,12,0.28867513,well,-,fitted her as well as if they had been made for her.
